["depend" "of"]	["depend" "on"]
["arrive" "to"]	["arrive" "at"]
["accuse" "for"]	["accuse" "of"]
["complain" "over"]	["complain" "about"]
["rely" "of"]	["rely" "on"]
["talk" "of"]	["talk" "about"]
explain	explain to
belong	belong to
answer to	answer
approach to	approach
ask to	ask
call to	call
lack of	lack
marry to	marry
match to	match
request for	request
return back	return
on	about
round	around	about
about	around	round
along	across	through
between	among	amongst
like	as
in front of	before
behind of	behind
except	besides
from	by
despite of	despite
during	for
since	for	from
into	in
inside of	inside
by	near
close	near	close to
in	on
on	onto
outside of	outside
above	over
from	since
along	through	across
to there	there
to here	here
to	towards	toward
by	with
according to me	in my opinion
bust in tears	burst into tears
looking forwards to	looking forward to
know	get to know
["I" "don't mind it"]	["I" "don't mind"]
["I don't" "mind it"]	["I don't" "mind"]
["there is" "no point to"]	["there is" "no point in"]
["do" "crime"]	["commit" "crime"]
["crime" "do"]	["crime" "commit"]
["get" "into"]	["get" "on"]
["go" "into"]	["get" "on"]
["get" "out of"]	["get" "off"]
["go" "out of"]	["get" "off"]
["get" "children"]	["have" "children"]
["children" "get"]	["children" "have"]
["children" "get"]	["children" "have"]
["make" "demonstration"]	["give" "demonstration"]
["demonstration" "make"]	["demonstration" "give"]
["dream" "dream"]	["have" "dream"]
["dream" "dream"]	["dream" "have"]
["make" "exam"]	["take" "exam"]
["exam" "make"]	["exam" "take"]
["make" "test"]	["take" "test"]
["test" "make"]	["test" "take"]
["say" "example"]	["give" "example"]
["example" "say"]	["example" "give"]
["make" "experience"]	["have" "experience"]
["experience" "make"]	["experience" "have"]
["make" "experiment"]	["conduct" "experiment"]	["do" "experiment"]
["experiment" "make"]	["experiment" "conduct"]	["experiment" "do"]
["say" "joke"]	["tell" "joke"]
["joke" "say"]	["joke" "tell"]
["say" "lie"]	["tell" "lie"]
["lie" "say"]	["lie" "tell"]
["take" "permission"]	["get" "permission"]	["have" "permission"]
["permission" "take"]	["permission" "get"]	["permission" "have"]
["big" "amount"]	["large" "amount"]
["amount" "big"]	["amount" "large"]
["big" "noise"]	["loud" "noise"]
["noise" "big"]	["noise" "loud"]
["big" "amount"]	["large" "amount"]
["amount" "big"]	["amount" "large"]
["high" "amount"]	["large" "amount"]
["amount" "high"]	["amount" "large"]
["little" "amount"]	["small" "amount"]
["amount" "little"]	["amount" "small"]
["low" "amount"]	["small" "amount"]
["amount" "low"]	["amount" "small"]
["big" "number"]	["large" "number"]
["number" "big"]	["number" "large"]
["high" "number"]	["large" "number"]
["number" "high"]	["number" "large"]
["little" "number"]	["small" "number"]
["number" "little"]	["number" "small"]
["low" "number"]	["small" "number"]
["number" "low"]	["number" "small"]
["big" "quantity"]	["large" "quantity"]
["quantity" "big"]	["quantity" "large"]
["high" "quantity"]	["large" "quantity"]
["quantity" "high"]	["quantity" "large"]
["little" "quantity"]	["small" "quantity"]
["quantity" "little"]	["quantity" "small"]
["low" "quantity"]	["small" "quantity"]
["quantity" "low"]	["quantity" "small"]
["big" "choice"]	["large" "choice"]	["wide" "choice"]
["choice" "big"]	["choice" "large"]	["choice" "wide"]
small choice	narrow choice
["choice" "small"]	["choice" "narrow"]
little choice	narrow choice
["choice" "little"]	["choice" "narrow"]
["big" "importance"]	["great" "importance"]
["importance" "big"]	["importance" "great"]
big progress	great progress	a lot of progress
["progress" "big"]	["progress" "great"]
high man	tall man
["man" "high"]	["man" "tall"]
bad pain	great pain
["pain" "bad"]	["pain" "great"]
o'clock a.m.	o'clock
o'clock p.m.	o'clock
today	this day
tonight	this night
until	by
during	for
since	for	from
in	on
from	since
in the night	at night
last morning	yesterday morning
last afternoon	yesterday afternoon
last night	yesterday night	yesterday evening
last day	previous day
last morning	previous morning
last afternoon	previous afternoon
last evening	previous evening
last night	previous night
next day	tomorrow
next morning	tomorrow morning
next afternoon	tomorrow afternoon
next evening	tomorrow evening
next night	tomorrow night
arrive to	["arrive" "at"]	["arrive" "in"]
reach at	reach
["at my" "arrival"]	["on my" "arrival"]
["at our" "arrival"]	["on our" "arrival"]
["at your" "arrival"]	["on your" "arrival"]
["at its" "arrival"]	["on its" "arrival"]
["at her" "arrival"]	["on her" "arrival"]
["at his" "arrival"]	["on his" "arrival"]
["at their" "arrival"]	["on their" "arrival"]
travel	journey	trip	voyage
say	tell
speak in	speak
speak	talk
tell to	tell
