eventually	if possible	finally	lastly
largely	greatly	widely
["it's" "likely"]	["it's" "easy"]
["it is" "likely"]	["it is" "easy"]
["is it" "likely"]	["is it" "easy"]
too much	too
too	very
recently	ultimately
much	a lot
pretty	quite	fairly	very
very much	very
very	by far
very dead	dead
very married	married
very stunning	absolutely stunning
very awful	really awful
very fantastic	really fantastic
to abroad	abroad
in abroad	abroad
nearby	near
["aware" "about"]	["aware" "of"]
consider about	consider
["description" "about"]	["description" "of"]
discuss about	discuss
["experience" "about"]	["experience" "of"]
mention about	mention
for always	for good	for ever
all the time	always
early	soon
next	nearest
on next	next
no longer	not any longer
no, not still	not any longer
quickly	soon
not still	no longer
used to	usually
're used to	usually
use to	usually
used to	usually
across	through
through	over
across	through
on	across
through	over
every	everyone	everybody	everything	all of
whole	all
["be" "let"]	["be" "allowed"]
nearly	almost
yet	still
already	still
also	as well	too	either
as well	too	either
too	either
amount of	number of
except for	apart from
["gone" "to"]	["been" "to"]
begin	start
["consider" "as"]	["consider" "to be"]
almost each	almost every
practically each	practically every
nearly each	nearly every
older	elder
oldest	eldest
live	experience
forget	leave
["full" "of"]	["filled" "with"]
go	get
["get" "bald"]	["go" "bald"]
["get" "bad"]	["go" "bad"]
listen	listen to
high	tall
["get" "to home"]	["get" "home"]
["go" "to home"]	["go" "home"]
["come" "to home"]	["come" "home"]
arrive to home	arrive home
travel to home	travel home
["drive" "to home"]	["drive" "home"]
["how are" "like"]	["what are" "like"]
["how is" "like"]	["what is" "like"]
["how's" "like"]	["what's" "like"]
ill	sick
lately	recently
look	look at
low	short
maybe	perhaps
n't ever	never
not ever	never
sympathetic	nice
no doubt	there's no doubt that
open	["turn" "on"]	["switch" "on"]
rob	burgle
say	say to
noise	sound
toward	towards
wait	wait for
wake	["wake" "up"]	waken	awaken	awake
in the age of	at the age of
what is my age	how old am I
what is your age	how old are you
what is our age	how old are we
what is its age	how old is it
what is her age	how old is she
what is his age	how old is he
what is their age	how old are they
address to	address of
advertisement of	advertisement for
["awareness" "about"]	["awareness" "of"]
["change" "of"]	["change" "in"]
["change" "in"]	["change" "to"]
congratulations for	congratulations on
["course" "of"]	["course" "in"]
exhibition about	exhibition of
["experience" "in"]	["experience" "of"]
["experience" "on"]	["experience" "in"]
["information" "of"]	["information" "on"]	["information" "about"]
["interest" "to"]	["interest" "in"]
["invitation" "of"]	["invitation" "to"]
["knowledge" "in"]	["knowledge" "of"]
["knowledge" "about"]	["knowledge" "of"]
["lesson" "of"]	["lesson" "in"]
["member" "in"]	["member" "of"]
["method" "to"]	["method" "of"]
["need" "of"]	["need" "for"]
newcomer of	newcomer to
["place" "of"]	["place" "in"]
["reason" "of"]	["reason" "for"]
["risk" "for"]	["risk" "of"]
["translation" "in"]	["translation" "into"]
["visit" "in"]	["visit" "to"]
half of	half
["in" "holiday"]	["on" "holiday"]
["at" "holiday"]	["on" "holiday"]
mind	remember
["it doesn't" "mind"]	["it doesn't" "matter"]
no	I'm afraid	I am afraid
["on my" "opinion"]	["in my" "opinion"]
["to my" "opinion"]	["in my" "opinion"]
according to me	in my opinion
["in my" "point of view"]	["in my" "opinion"]
["reason" "of"]	["reason" "for"]
reason because	reason why
reasons that	reasons why
["in my" "point of view"]	["in my" "view"]
work	job
some	some of
's	[""]
all people	everybody	everyone
all you	all of you
all us	all of us
all them	all of them
after all	finally
any	some	any of	every
either	either of
enough	enough of
small	little
plenty	plenty of
lots of	lots
many	a lot of
most of	most
mostly	most
much	a lot of
very much	so much
many	a lot of
many of	many
a lot of	a lot
none	none of
plenty	plenty of
some	some of	a few
any	some
news	some news
as noted before	as noted above
as demonstrated before	as demonstrated above
against	about	contrary to	in contrast to	compared with	for
with	against
amongst	among
