abandon	abolish
abandoned	remote
ability of	ability in	["" "ability"]
["be" "able to"]	can
["be" "not able to"]	cannot	["can" "not"]
["make" "able to"]	["enable" "to"]
about	with regard to	regarding	as for	as regards	["as far as" "are concerned"]	["as far as" "is concerned"]	["as far as" "were concerned"]	["as far as" "was concerned"]
about myself	in my own case	as for me	as for myself
about ourselves	in our own case	as for us	as for ourselves
above	over
the above	this	my
above all	especially	by far	most of all
go to abroad	go abroad
live to abroad	live abroad
be to abroad	be abroad
go at abroad	go abroad
live at abroad	live abroad
be at abroad	be abroad
go in abroad	go abroad
live in abroad	live abroad
be in abroad	be abroad
["be" "absent from"]	miss	["do" "miss"]	["be" "not at"]	["be" "n't at"]
absolutely	very
accept	agree	allow
["big" "accident"]	["bad" "accident"]	["nasty" "accident"]	["dreadful" "accident"]	["serious" "accident"]	["fatal" "accident"]
["accident" "big"]	["accident" "bad"]	["accident" "serious"]	["accident" "fatal"]
accomplish	achieve
according to me	in my opinion
according to us	in our opinion
take into account that	take into account the fact that
accurate	exact
accustom to	get accustomed to
["do" "accustom to"]	["be" "accustomed to"]	["be" "used to"]
act	behave	action
action	thing	act
actual	present
actually	in fact	at present	at the moment
add into	add to
admire	see	look at	enjoy
adore	like	enjoy	love
advantage	merit	good point	benefit
advantage in	advantage of
advertisement about	advertisement for
advertisement of	advertisement for
affect	effect
affect on	affect
after	in	["in" "'s time"]	later	since	afterwards	afterward
after all	in the end
afterwards	later on	then
afterward	later on	then
again	back
["drive" "against"]	["drive" "into"]
["run" "against"]	["run" "into"]
walk against	walk into
["crash" "against"]	["crash" "into"]
["bump" "against"]	["bump" "into"]
at the age of	[""]	["" "year old"]
of my age	my age
of our age	our age
of your age	your age
of its age	its age
of her age	her age
of his age	his age
of their age	their age
["be" "at the same age"]	["be" "the same age"]
["in the" "age of"]	["at the" "age of"]
in the age of	of	aged
in my age	of my age
in our age	of our age
in your age	of your age
in its age	of its age
in her age	of her age
in his age	of his age
in their age	of their age
["in the age of" "years"]	aged	["" "years of age"]
["at the age of from" "to"]	["between the age of" "and"]
aged	elderly
at aged	at	at the age of
["at" "ago"]	["" "ago"]
["in" "ago"]	["" "ago"]
["before" "ago"]	["" "ago"]
["since" "ago"]	["" "ago"]
ago	before
agree	agree to
["be" "agree"]	agree	["do" "agree"]
["make" "agreement"]	["reach" "agreement"]
["agreement" "make"]	["agreement" "reach"]
aid	help
["by the" "aid of"]	["with the" "aid of"]
aim	ambition
["aim" "to"]	["aim" "at"]
alarm	alert
alive	living	lively
be alive	live
all	whole	entire
all of my	my whole
all of our	our whole
all of your	your whole
all of its	its whole
all of her	her whole
all of his	his whole
all of their	their whole
all	all of us	all of you	all of it	all of them
allow to	allow
almost no	hardly any
almost nobody	hardly nobody
almost never	hardly ever
almost can't	can hardly
almost couldn't	could hardly
alone	lonely	on my own	on our own	on your own	on its own	on her own	on his own	on their own
along	through
already	yet
also	furthermore	moreover	what's more	besides
alternate	alternative
alternatively	alternately
always	still
["satisfy" "ambition"]	["achieve" "ambition"]
["ambition" "satisfy"]	["ambition" "achieve"]
["meet" "ambition"]	["achieve" "ambition"]
["ambition" "meet"]	["ambition" "achieve"]
["reach" "ambition"]	["achieve" "ambition"]
["ambition" "reach"]	["ambition" "achieve"]
["arrive" "ambition"]	["achieve" "ambition"]
["ambition" "arrive"]	["ambition" "achieve"]
among	between	in	with
amount	number
["big" "amount"]	["large" "amount"]
["amount" "big"]	["amount" "large"]
["high" "amount"]	["large" "amount"]
["amount" "high"]	["amount" "large"]
ample	spacious
amuse myself a lot	really enjoy myself
amuse ourselves a lot	really enjoy ourselves
amuse yourself a lot	really enjoy yourself
amuse yourselves a lot	really enjoy yourselves
amuse herself a lot	really enjoy herself
amuse himself a lot	really enjoy himself
amuse themselves a lot	really enjoy themselves
amusing	enjoyable	interesting
control my anger	control my temper
control our anger	control our temper
control your anger	control your temper
control her anger	control her temper
control his anger	control his temper
["his anger" "control"]	["his temper" "control"]
control their anger	control their temper
keep my anger	keep my tempter
keep our anger	keep our tempter
keep your anger	keep your temper
