about	round	around
on	over	about
have gone to abroad	have gone abroad
["be" "at abroad"]	["be" "abroad"]
["'re" "at abroad"]	["'re" "abroad"]
["have" "absented myself"]	["be" "absent"]	["'re" "absent"]
["have" "absented ourselves"]	["be" "absent"]	["'re" "absent"]
["have" "absented yourself"]	["be" "absent"]	["'re" "absent"]
["have" "absented yourselves"]	["be" "absent"]	["'re" "absent"]
["have" "absented itself"]	["be" "absent"]	["'re" "absent"]
["have" "absented herself"]	["be" "absent"]	["'re" "absent"]
["have" "absented himself"]	["be" "absent"]	["'re" "absent"]
["have" "absented themselves"]	["be" "absent"]	["'re" "absent"]
abstracted	absent-minded
distracted	absent-minded
["accept" "to"]	["agree" "to"]
accept	admit
["admit" "in"]	["allow" "in"]	admit
allow	["allow" "in"]	admit
accept	["allow" "in"]	admit
accessory	spare part
reserve	spare part	accessory	spare tyre
reserve tyre	spare tyre
spare	reserve
episode	accident	incident
accidentally	unfortunately
accomplishment	achievement
achievement	completion
accomplishment	completion
["on" "accord"]	["on" "behalf"]
["on" "part"]	["on" "behalf"]
of my own behalf	of my own accord
of our own behalf	of our own accord
of your own behalf	of your own accord
of its own behalf	of its own accord
of her own behalf	of her own accord
of his own behalf	of his own accord
of their own behalf	of their own accord
on my own behalf	of my own accord
on our own behalf	of our own accord
on your own behalf	of your own accord
on its own behalf	of its own accord
on her own behalf	of her own accord
on his own behalf	of his own accord
on their own behalf	of their own accord
on my own accord	of my own accord
on our own accord	of our own accord
on your own accord	of your own accord
on its own accord	of its own accord
on her own accord	of her own accord
on his own accord	of his own accord
on their own accord	of their own accord
by	according to
["according to my" "opinion"]	["in my" "opinion"]
to me	in my opinion
["to my" "opinion"]	["in my" "opinion"]
["after my" "opinion"]	["in my" "opinion"]
["by my" "opinion"]	["in my" "opinion"]
with no account	on no account
in any account	on any account
deposit	account
["do" "accusation"]	["make" "accusation"]
["accusation" "do"]	["accusation" "make"]
pain	hurt
ache	hurt
pain	hurt	ache
acquire value	gain in value	increase in value
["acquire" "in value"]	["gain" "in value"]	["increase" "in value"]
gain	acquire
over	across
through	across
act	action
deed	action
action of kindness	act of kindness
deed of kindness	act of kindness
act	deed
action	deed
act	take effect
action	campaign
actual report	news report
actual report	topical
real report	actual report
actual report	up-to-date
topical	up-to-date
actualities	the news	current events
actually	at present	for the present	at the moment
to the present	at present
["to the" "present"]	["for the" "present"]	["at the" "moment"]
["adjust myself" "to"]	["adapt" "to"]
["adjust ourselves" "to"]	["adapt" "to"]
["adjust yourself" "to"]	["adapt" "to"]
["adjust yourselves" "to"]	["adapt" "to"]
["adjust itself" "to"]	["adapt" "to"]
["adjust herself" "to"]	["adapt" "to"]
["adjust himself" "to"]	["adapt" "to"]
["adjust themselves" "to"]	["adapt" "to"]
["adapt myself" "to"]	["adapt" "to"]
["adapt ourselves" "to"]	["adapt" "to"]
["adapt yourself" "to"]	["adapt" "to"]
["adapt yourselves" "to"]	["adapt" "to"]
["adapt itself" "to"]	["adapt" "to"]
["adapt herself" "to"]	["adapt" "to"]
["adapt himself" "to"]	["adapt" "to"]
["adapt themselves" "to"]	["adapt" "to"]
adapt	adjust
addition	bill
account	bill
goodbye	adieu
admire	wonder
wonder	admire
wonder at	admire
admire	wonder	admiration
admittance	admission
["by" "adventure"]	["by" "chance"]
by adventure	incidentally
by chance	incidentally
advertisement	warning
["advice" "for"]	["advice" "about"]
["take" "opinion"]	["take" "advice"]
["opinion" "take"]	["advice" "take"]
affair	liaison
affairs	business
have an effect	come into effect
have an affect	come into effect
["have" "effect"]	["take" "effect"]
["effect" "have"]	["effect" "take"]
["have" "affect"]	["take" "effect"]
["affect" "have"]	["effect" "take"]
affection	affectation
affection	infection
affirm	maintain
afford	can afford
["don't" "afford"]	["can't" "afford"]
do not afford	cannot afford
["do" "afford"]	["can" "afford"]
afraid	frightened
afterwards work	after work
afterward work	after work
after	afterwards	afterward	after that	behind
behind of	behind
after	in
today afternoon	this afternoon
again	back
epoch	age	era
age	century	old
big	old
what age	how old
year	[""]	year old
["have" "year"]	be	're	["'re" "year old"]
["don't have" "year"]	re not	are not	aren't	["'re not" "year old"]
aged	elderly	elderly	elderly man
agenda	diary
ages	years
annoy	aggravate
agitate	move	shake
shaken	agitated
moved	agitated
agitate	shake
moved	shake
agony	anxiety
["agree" "to"]	["agree" "with"]
agree	agree with
["agree" "with"]	["agree" "to"]
["agreeable" "with"]	["in agreement" "with"]
agreeable	in agreement
ahead	in front
aid	help
first help	first aid
air	tune
melody	tune
air	wind
breeze	wind
in the fresh	out	in the open air
["in" "fresh"]	["in" "open"]
in the full air	out	in the open air
["in" "full air"]	["in" "open"]
with air	by air	via air	per air	by plane
alarm	alert
alight	burning
alike	similar
same	similar
["same" "with"]	["same" "as"]
["similar" "with"]	["similar" "to"]
live	alive
alive	live
every people	everyone
every person	everyone
all people	everyone
all you	all of you
all us	all of us
all them	all of them
all these	all these things
allowance	permission
["not" "almost"]	["not" "nearly"]
also	thus	so
alternatives	possibilities
alternate	alternative
amazed with	amazed at	amazed by
amazed from	amazed by
make	learn	do
amongst	among
amount	number
amuse	occupy
ancient	old
anger	get angry
anger myself	get angry
anger ourselves	get angry
anger yourself	get angry
anger yourselves	get angry
anger itself	get angry
anger herself	get angry
anger himself	get angry
anger themselves	get angry
["make" "to anger"]	anger	["make" "angry"]
angle	corner
corner	bend
["angry" "with"]	["angry" "at"]	["angry" "about"]
anniversary	birthday
advertisement	announcement
advertisement	commercial
annoy	bother	disturb
one more	another
["make" "answer"]	["give" "answer"]
["answer" "make"]	["answer" "give"]
answer to	answer
antiquity	antique
["anxious" "for"]	["anxious" "about"]
apart	separate
["live" "separate"]	["live" "apart"]
apart	apart from	except for	except
apart for	apart from
["apart" "for"]	["except" "for"]
apart for	except
except	apart from	except for
apology	defence
arise	appear
appear	show	present
show	present	appear
present myself	appear
present ourselves	appear
present yourself	appear
present yourselves	appear
present itself	appear
present herself	appear
present himself	appear
present themselves	appear
appear	present myself	present ourselves	present yourself	present yourselves	present itself	present herself	present himself	present themselves
appear oddly	seem odd
seem	appear
applause	round of applause
appreciate	appreciate it
very appreciated	appreciated
approach	come here
approach to	approach
approach from	approach
approve	approve of
archives	filing system	files
dispute	quarrel	have argument	have row
["make" "discussion about"]	["have" "discussion about"]
["do" "discussion about"]	["have" "discussion about"]
["make" "argument about"]	["have" "argument about"]
["do" "argument about"]	["have" "argument about"]
aroma	flavour	flavor
perfume	flavour	flavor
taste	flavour	flavor
perfume	aroma
flavour	scent
flavor	scent
aroma	scent	perfume
arrange	settle	sort out
["do" "arrangement"]	["come to" "arrangement"]	["make" "arrangement"]
["arrangement" "do"]	["arrangement" "come to"]	["arrangement" "make"]
technique	art	skill
as	than
else	than	as
["ask" "for"]	["ask" "about"]
asleep	sleeping
ass	ace
["assisted" "at"]	["present" "at"]	["attend" "at"]
association	club
organization	club	association
assorted	matching
["assure" "against"]	["insure" "against"]
assure	check
asylum	old people's home
["shoot" "against"]	["shoot" "at"]
["run" "against"]	["run" "at"]
at	against
["drive" "against"]	["drive" "into"]
at last	in the end
finally	in the end
in the end	finally
at last	finally	in the end
at once	coming
immediately	at once
["attached" "to"]	["connected" "with"]
["attack" "against"]	attack
attend	visit	wait for
["attend" "for"]	["wait" "for"]
attend to	attend
attend at	attend
attend	come to	go to
["attend" "to"]	["come" "to"]	["go" "to"]
attention	care	caution
audience	auditorium
austere	strict	severe
["make" "baby"]	["have" "baby"]
["baby" "make"]	["baby" "have"]
["do" "baby"]	["have" "baby"]
["baby" "do"]	["baby" "have"]
["in" "back"]	["in" "backside"]	["up" "backside"]	["in" "behind"]	["up" "behind"]
backside	back
back	backward
backwards	backward
back	behind	at the back of
back from	behind	at the back of
["put" "back"]	["put" "behind"]	["put" "at the back"]
have my back	have a backache	've got backache
have our backs	have a backache	've got backache
have your back	have a backache	've got backache
have her back	have a backache	've got backache
have his back	have a backache	've got backache
have their backs	have a backache	've got backache
bad	bad person	bad thing
["bad" "to"]	["bad" "at"]
["bad" "in"]	["bad" "at"]
very	badly
very much	badly
baggage	case	suitcase
luggage	case	suitcase
coffer	case	suitcase
bake	roast	cook
balance	scale
["on" "bands"]	["on" "tape"]
bank	bench
form	bench
bank	form	bench
["don't" "barely"]	["" "barely"]
barracks	shack
shed	shack
barracks	hut
shack	hut
shed	hut
barracks	shed
hut	shed
shack	shed
shut	close
bar	close
shut	close
barrier	frontier
basin	pool	swimming pool
["do" "bath"]	["have" "bath"]	["take" "bath"]
["bath" "do"]	["bath" "have"]	["bath" "take"]
["make" "bath"]	["have" "bath"]	["take" "bath"]
["bath" "make"]	["bath" "have"]	["bath" "take"]
bath myself	have a bath	take a bath
bath ourselves	have a bath	take a bath
bath yourself	have a bath	take a bath
bath yourselves	have a bath	take a bath
bath itself	have a bath	take a bath
bath herself	have a bath	take a bath
bath himself	have a bath	take a bath
bath themselves	have a bath	take a bath
["do" "bath"]	["give" "bath"]
["make" "bath"]	["give" "bath"]
bath	bathe	swim
["do" "bargain"]	["make" "bargain"]	["strike" "bargain"]
["bargain" "do"]	["bargain" "make"]	["bargain" "strike"]
["make" "bazaar"]	["make" "bargain"]	["strike" "bargain"]
["bargain" "make"]	["bargain" "make"]	["bargain" "strike"]
["do" "bazaar"]	["make" "bargain"]	["strike" "bargain"]
["bazaar" "do"]	["bargain" "make"]	["bargain" "strike"]
bazaar	bargain
bazaar	market	market place
bear	carry
suffer	put up with
["suffer" "of"]	["suffer" "from"]
["suffer" "by"]	["suffer" "from"]
beat	hit	strike
bang	hit	strike
hit	beat
bang	beat
strike	beat
hit	bang
strike	bang
beat	bang	hit	strike
beat	win
conquer	win
win	beat	conquer
beat	conquer
beautiful	handsome	good-looking	attractive
pretty	handsome	good-looking	attractive
become	be	have	obtain	get	become of
["become" "to"]	["become" "of"]	["happen" "to"]
what's happening	what's the matter
["prepare" "bed"]	["make" "bed"]
beef	bullock	ox	steak
roast beefsteak	roast beef
beefsteak	hamburger	beefburger
before	ago	["" "ago"]
ago	before
before	in front of
before from that	before that
begin	start
["begin" "with"]	["begin" "by"]
["start" "with"]	["start" "by"]
["begin" "by"]	["begin" "with"]
["start" "by"]	["start" "with"]
["believe" "to"]	["believe" "in"]
believe	believe so
believe it	believe so
belong	own
own	belong to
["own" "to"]	["belong" "to"]
below	under
underneath	under
beneath	under
underneath	below
beneath	under	below
bend	curve
["benefit" "by"]	["benefit" "from"]
benzine	petrol
beside	besides
beside of	besides
["make my" "best"]	["do my" "best"]
