make	do
accept	agree
actual	current
actual	present
actually	currently
actually	at the moment
alone	lonely
on my own	lonely
amount	number
anniversary	birthday
announcement	advertisement
argument	discussion
ashamed	embarrassed
assist	be present
avoid	prevent
blame	fault
borrow	lend	use
bring	take	fetch
buy	pay
carry	take
certain	sure
certainly	surely
definitely	surely
cloth	clothes	clothing
control	check
control	inspect
cook	cooker
employ	use
especially	specially
eventually	possibly
eventually	perhaps
far	far away
far	a long away
female	feminine
fit	suit
friendly	sympathetic
gain	earn
glad	happy
hear	listen to
high	tall
hope	wish
library	bookshop
male	masculine
marriage	wedding
nervous	anxious
nervous	annoyed
nervous	irritated
parking	car park
parking	parking lot
people	persons
prove	test
remember	remind
rob	steal
see	look at	watch
shadow	shade
souvenir	memory
spend	pass
strange	unusual
support	stand	tolerate
support	put up with	tolerate
support	bear	tolerate
understand	realize
win	defeat	beat
accept	except
advice	advise
alternate	alternative
arise	rise
bath	bathe
beside	besides
breath	breathe
continual	continuous
dead	died
definite	definitive
dessert	desert
elder	older
infer	imply
lay	lie
loose	lose
personal	personnel
price	prize
quite	quiet
raise	rise
sensible	sensitive
suppose	supposed to
on time	in time
minutes' time	minutes
hours' time	hours
days' time	days
weeks' time	weeks
months' time	months
years' time	years
["arrive" "at"]	["arrive" "in"]
journey	voyage
trip	voyage
