to	at
to	till
in	at
in	into
on	at	in
for	at
between	among
say	tell
make	do
lie	lay
sit	seat
rise	raise
like	love
stay	remain
wear	put on
tear	tear up
grow	grow up
pick	pick up
["deal" "with"]	["deal" "in"]
["interfere" "in"]	["interfere" "with"]
borrow	lend
steal	rob
refuse	deny
discover	invent
very	too
very	much
each	every
older	elder
oldest	eldest
wounded	injured
wounded	hurt
sick	ill
house	home
story	history
habit	custom
cause of	reason for
scene	scenery
centre	middle
shade	shadow
customer	client
